,jname,ndup,uid,ra,dec,file,root,srcid,nGr,Grating,grade,zfit,z,zkey,capers_flag,zxor,nRef,sn50,wmin,wmax,Lya,Ha,OIII,L_Ha,L_OIII,HST,NIRCam,slit,Fnu,Flam,References,comment,z_aspect_flux_sum,z_aspect_pixel_count,z_aspect_flag,failed_opening
17608,j021730.39m051616.59,4,11268,34.376645,-5.271275,rubies-uds42-nod-v3_prism-clear_4233_29492.spec.fits,rubies-uds42-nod-v3,29492,1,G395M,3,2.3164,2.3164,NaN,NaN,NaN,0,26.96,0.6,5.29,NaN,24.0,-3.3,42.28,NaN,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_g395m-f290lp_4233_29492 z=2.3142,2.31,1.28,2.0,False
17609,j021727.48m051612.92,6,11274,34.36448,-5.270256,rubies-uds42-nod-v3_prism-clear_4233_29954.spec.fits,rubies-uds42-nod-v3,29954,1,G395M,3,7.4109,7.4109,NaN,NaN,NaN,0,1.44,0.6,5.29,-0.8,NaN,43.7,NaN,43.19,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds41-v3_prism-clear_4233_29954 z=7.4063,NaN,NaN,1.0,False
17610,j021732.68m051613.74,2,13828,34.386147,-5.270483,rubies-uds42-nod-v3_prism-clear_4233_30185.spec.fits,rubies-uds42-nod-v3,30185,1,G395M,3,0.8258,0.8245,NaN,NaN,NaN,0,101.51,0.6,5.29,NaN,0.2,-0.9,40.12,NaN,NaN,NaN,NaN,NaN,NaN,-,interactive fit 2 75 1.3 11,NaN,NaN,0.0,False
17611,j021730.91m051608.91,4,11278,34.378777,-5.269143,rubies-uds42-nod-v3_prism-clear_4233_30677.spec.fits,rubies-uds42-nod-v3,30677,1,G395M,3,3.7231,3.7231,NaN,NaN,NaN,0,-0.06,0.6,5.29,NaN,6.0,8.5,41.19,41.67,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds41-v3_prism-clear_4233_30677 z=3.7213,NaN,NaN,1.0,False
17612,j021727.82m051604.78,2,13834,34.365904,-5.267995,rubies-uds42-nod-v3_prism-clear_4233_31318.spec.fits,rubies-uds42-nod-v3,31318,1,G395M,3,6.1447,6.1447,NaN,NaN,NaN,0,0.7,0.6,5.29,-1.7,15.4,NaN,42.22,NaN,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_31318 z=6.1448,NaN,NaN,1.0,False
17613,j021724.99m051605.45,2,13835,34.354145,-5.268181,rubies-uds42-nod-v3_prism-clear_4233_31328.spec.fits,rubies-uds42-nod-v3,31328,1,G395M,3,2.7655,2.7655,NaN,NaN,NaN,0,2.41,0.6,5.29,NaN,19.6,17.9,41.72,42.04,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_31328 z=2.7644,2.75,2.83,3.0,False
17614,j021731.30m051603.84,2,13842,34.380408,-5.267733,rubies-uds42-nod-v3_prism-clear_4233_31552.spec.fits,rubies-uds42-nod-v3,31552,1,G395M,3,4.8101,4.8101,NaN,NaN,NaN,0,1.76,0.6,5.29,6.5,32.3,38.4,42.16,42.54,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_g395m-f290lp_4233_31552 z=4.8024,4.8,4.83,3.0,False
17615,j021733.54m051603.24,2,13843,34.389738,-5.267565,rubies-uds42-nod-v3_prism-clear_4233_31658.spec.fits,rubies-uds42-nod-v3,31658,1,G395M,3,3.0015,3.0015,NaN,NaN,NaN,0,4.35,0.6,5.29,NaN,19.1,24.1,41.71,42.14,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_31658 z=3.0007,2.98,3.02,3.0,False
17616,j021724.58m051558.60,2,13847,34.352425,-5.266277,rubies-uds42-nod-v3_prism-clear_4233_32421.spec.fits,rubies-uds42-nod-v3,32421,1,G395M,3,3.08,3.08,NaN,NaN,NaN,0,0.41,0.6,5.29,NaN,4.6,2.8,41.07,41.18,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_32421 z=3.0844,NaN,NaN,0.0,False
17617,j021733.34m051558.67,2,13848,34.388932,-5.266298,rubies-uds42-nod-v3_prism-clear_4233_32488.spec.fits,rubies-uds42-nod-v3,32488,1,G395M,3,1.7475,1.7475,NaN,NaN,NaN,0,14.03,0.6,5.29,NaN,21.2,23.8,41.76,42.02,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_32488 z=1.7472,1.75,1.75,3.0,False
17618,j021732.24m051558.12,2,13851,34.384316,-5.266145,rubies-uds42-nod-v3_prism-clear_4233_32759.spec.fits,rubies-uds42-nod-v3,32759,1,G395M,3,4.9721,4.9721,NaN,NaN,NaN,0,0.84,0.6,5.29,0.4,19.2,21.3,42.15,42.45,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_32759 z=4.9720,4.96,4.99,3.0,False
17619,j021725.11m051555.29,3,13852,34.354607,-5.265358,rubies-uds42-nod-v3_prism-clear_4233_33009.spec.fits,rubies-uds42-nod-v3,33009,1,G395M,3,6.0273,6.0273,NaN,NaN,NaN,0,1.71,0.6,5.29,4.0,22.2,27.8,42.43,42.67,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds43-v3_g395m-f290lp_4233_33009 z=6.0179,6.02,6.05,3.0,False
17620,j021724.59m051552.60,2,13876,34.352461,-5.26461,rubies-uds42-nod-v3_prism-clear_4233_33451.spec.fits,rubies-uds42-nod-v3,33451,1,G395M,3,7.11,7.11,NaN,NaN,NaN,1,0.82,0.6,5.29,-0.5,NaN,28.6,NaN,42.65,NaN,NaN,NaN,NaN,NaN,DKo24  z=N/A,Redshift matches rubies-uds42-v3_prism-clear_4233_33451 z=7.1098,NaN,NaN,1.0,False
17621,j021731.52m051555.54,2,13879,34.38133,-5.265428,rubies-uds42-nod-v3_prism-clear_4233_33599.spec.fits,rubies-uds42-nod-v3,33599,1,G395M,3,3.2413,3.2413,NaN,NaN,NaN,0,7.75,0.6,5.29,NaN,9.9,6.9,42.17,42.29,NaN,NaN,NaN,NaN,NaN,-,NaN,3.22,3.28,3.0,False
17622,j021727.31m051543.94,2,13886,34.363788,-5.262205,rubies-uds42-nod-v3_prism-clear_4233_34939.spec.fits,rubies-uds42-nod-v3,34939,1,G395M,3,4.6097,4.6097,NaN,NaN,NaN,0,1.76,2.13,5.29,NaN,16.4,20.5,41.87,42.29,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_g395m-f290lp_4233_34939 z=4.6028,4.61,4.64,3.0,False
17623,j021729.83m051900.99,2,22157,34.374295,-5.316941,rubies-uds42-nod-v3_prism-clear_4233_3545.spec.fits,rubies-uds42-nod-v3,3545,0,NaN,3,6.9082,6.9082,NaN,NaN,NaN,0,1.82,0.6,5.29,0.0,7.6,18.0,42.27,42.68,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_3545 z=6.9080,NaN,NaN,1.0,False
17624,j021727.25m051538.82,2,22167,34.363558,-5.260782,rubies-uds42-nod-v3_prism-clear_4233_35747.spec.fits,rubies-uds42-nod-v3,35747,0,NaN,3,5.528,5.528,NaN,NaN,NaN,1,0.84,1.6,5.29,NaN,22.3,18.7,42.28,42.15,NaN,NaN,NaN,NaN,NaN,DKo24  z=N/A,Redshift matches rubies-uds42-v3_prism-clear_4233_35747 z=5.5278,5.52,5.55,3.0,False
17625,j021722.80m051536.42,2,13890,34.345003,-5.260115,rubies-uds42-nod-v3_prism-clear_4233_36171.spec.fits,rubies-uds42-nod-v3,36171,1,G395M,3,6.478,6.478,NaN,NaN,NaN,0,1.48,0.6,5.29,1.7,12.1,2.4,42.24,41.34,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_36171 z=6.4688,NaN,NaN,1.0,False
17626,j021725.71m051535.65,2,13891,34.357125,-5.259904,rubies-uds42-nod-v3_prism-clear_4233_36404.spec.fits,rubies-uds42-nod-v3,36404,1,G395M,3,4.3758,4.3758,NaN,NaN,NaN,0,0.89,0.6,5.29,1.0,27.8,30.6,41.96,42.33,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_36404 z=4.3762,4.36,4.39,3.0,False
17627,j021723.17m051531.89,2,13893,34.346555,-5.258858,rubies-uds42-nod-v3_prism-clear_4233_36877.spec.fits,rubies-uds42-nod-v3,36877,1,G395M,3,3.5272,3.5272,NaN,NaN,NaN,0,2.98,0.6,5.29,NaN,16.5,18.3,41.99,42.3,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_36877 z=3.5293,3.52,3.54,3.0,False
17628,j021724.88m051529.87,2,13894,34.353669,-5.258297,rubies-uds42-nod-v3_prism-clear_4233_37265.spec.fits,rubies-uds42-nod-v3,37265,1,G395M,3,2.644,2.644,NaN,NaN,NaN,0,6.61,0.6,5.29,NaN,45.1,47.7,42.36,42.73,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_37265 z=2.6444,2.65,2.66,3.0,False
17629,j021726.12m051524.76,2,13900,34.358834,-5.256878,rubies-uds42-nod-v3_prism-clear_4233_38134.spec.fits,rubies-uds42-nod-v3,38134,1,G395M,3,3.0898,3.0898,NaN,NaN,NaN,0,0.3,0.6,5.29,NaN,6.3,9.1,41.11,41.6,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_38134 z=3.0905,3.07,3.13,3.0,False
17630,j021729.83m051858.62,2,13904,34.374294,-5.316283,rubies-uds42-nod-v3_prism-clear_4233_3859.spec.fits,rubies-uds42-nod-v3,3859,1,G395M,3,3.244,3.244,NaN,NaN,NaN,0,1.47,0.6,5.29,NaN,4.0,3.9,40.82,41.07,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_3859 z=3.2426,NaN,NaN,0.0,False
17631,j021724.88m051523.19,2,13905,34.353683,-5.256442,rubies-uds42-nod-v3_prism-clear_4233_38652.spec.fits,rubies-uds42-nod-v3,38652,1,G395M,3,2.2229,2.2229,NaN,NaN,NaN,0,8.56,0.6,5.29,NaN,13.8,8.4,41.61,41.58,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_38652 z=2.2193,NaN,NaN,1.0,False
17632,j021723.15m051519.74,2,13907,34.346459,-5.255485,rubies-uds42-nod-v3_prism-clear_4233_39063.spec.fits,rubies-uds42-nod-v3,39063,1,G395M,3,4.5445,4.5445,NaN,NaN,NaN,0,3.36,0.6,5.29,-1.9,2.6,3.1,41.14,41.46,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_39063 z=4.5449,NaN,NaN,0.0,False
17633,j021727.89m051517.16,2,13909,34.366213,-5.254767,rubies-uds42-nod-v3_prism-clear_4233_39504.spec.fits,rubies-uds42-nod-v3,39504,1,G395M,3,4.5578,4.5578,NaN,NaN,NaN,0,1.73,1.5,5.29,NaN,19.0,24.8,41.94,42.38,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_g395m-f290lp_4233_39504 z=4.5552,4.54,4.58,3.0,False
17634,j021725.39m051513.39,2,13912,34.355778,-5.25372,rubies-uds42-nod-v3_prism-clear_4233_40216.spec.fits,rubies-uds42-nod-v3,40216,1,G395M,3,3.2286,3.2286,NaN,NaN,NaN,0,2.52,0.6,5.29,NaN,30.6,42.8,42.16,42.63,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_40216 z=3.2295,3.22,3.27,3.0,False
17635,j021725.72m051511.18,2,13915,34.357152,-5.253106,rubies-uds42-nod-v3_prism-clear_4233_40790.spec.fits,rubies-uds42-nod-v3,40790,1,G395M,3,3.2444,3.2444,NaN,NaN,NaN,0,14.67,0.6,5.29,NaN,25.2,4.2,41.96,41.29,NaN,NaN,NaN,NaN,NaN,-,Redshift matches rubies-uds42-v3_prism-clear_4233_40790 z=3.2447,3.24,3.26,3.0,False
17636,j021724.02m051509.60,2,13916,34.350071,-5.252666,rubies-uds42-nod-v3_prism-clear_4233_40893.spec.fits,rubies-uds42-nod-v3,40893,1,G395M,1,2.6016,2.6016,NaN,NaN,NaN,0,0.35,0.6,5.29,NaN,4.6,0.7,40.87,40.35,NaN,NaN,NaN,NaN,NaN,-,NaN,NaN,NaN,0.0,False
